year,month,day,deforestation_area_ha
2016,8,2,86328.32865025436
2016,8,3,0.0
2016,8,4,6169.724614992077
2016,8,5,14532.252719098387
2016,8,6,11736.396655974899
2016,8,8,0.0
2016,8,9,2198.8672184578522
2016,8,11,22645.465469413542
2016,8,12,24145.75110311938
2016,8,13,0.0
2016,8,14,6340.376854629148
2016,8,15,23012.89396175196
2016,8,16,0.0
2016,8,17,435273.999792037
2016,8,18,0.0
2016,8,19,219444.87308933784
2016,8,20,0.0
2016,8,21,0.0
2016,8,24,1120.4396577783682
2016,8,27,95574.18411568644
2016,8,28,0.0
2016,8,29,7061.121017323002
2016,8,30,0.0
2016,8,31,66312.85690837218
2016,9,3,0.0
2016,9,4,15558.00714728318
2016,9,5,48680.58405480507
2016,9,6,0.0
2016,9,7,29956.35881158091
2016,9,9,64212.08504595067
2016,9,10,0.0
2016,9,11,17403.060875973926
2016,9,13,0.0
2016,9,19,1850.040671842503
2016,9,21,0.0
2016,9,22,32873.85700211899
2016,9,26,0.0
2016,9,27,0.0
2016,9,28,36659.568026512476
2016,9,29,152620.78973549532
2016,9,30,0.0
2016,10,3,38169.70553023382
2016,10,4,32509.069583473894
2016,10,5,0.0
2016,10,6,0.0
2016,10,7,42498.3049882863
2016,10,9,0.0
2016,10,10,1067.4012568205508
2016,10,12,0.0
2016,10,13,19700.362691380622
2016,10,14,0.0
2016,10,15,53054.86868318989
2016,10,16,7764.592837664961
2016,10,18,17717.400731036585
2016,10,19,0.0
2016,10,20,4371.755094757735
2016,10,21,0.0
2016,10,22,4141.897580274502
2016,10,24,0.0
2016,10,26,1969.9665216288374
2016,10,27,7586.500474477108
2016,10,28,0.0
2016,10,29,0.0
2016,10,30,9639.14054522061
2016,10,31,0.0
2016,11,1,0.0
2016,11,2,31485.05463686102
2016,11,3,0.0
2016,11,5,0.0
2016,11,6,4781.421438369288
2016,11,9,0.0
2016,11,10,0.0
2016,11,11,1702.3664629645314
2016,11,12,0.0
2016,11,15,8890.54599520153
2016,11,16,0.0
2016,11,17,0.0
2016,11,18,730.7539124634905
2016,11,20,0.0
2016,11,22,0.0
2016,11,24,6020.2098929932245
2016,11,25,0.0
2016,11,26,2624.810665590477
2016,11,27,0.0
2016,11,28,0.0
2016,11,29,8642.02531624551
2016,11,30,7004.141208315852
2016,12,2,0.0
2016,12,5,605.2488650346825
2016,12,6,678.4934080540271
2016,12,7,0.0
2016,12,10,600.9488973187187
2016,12,13,0.0
2016,12,28,1078.5032783125962
